ID,Num of marathon,Unfinished_marathon,Age,Num of mtl marathon,2012 mtl Marathon,2013 mtl Marathon,2014 mtl Marathon,2015 mtl Marathon
0,1,0,5,1,0,0,0,1
1,1,3,4,1,0,1,0,0
2,4,0,4,3,1,1,0,1
3,1,0,1,1,0,0,0,1
4,1,0,3,0,0,0,0,0
5,0,0,1,0,0,0,0,0
6,1,0,2,1,0,1,0,0
7,1,1,3,1,0,0,0,1
8,1,0,3,1,0,0,0,1
9,1,0,3,1,0,0,0,1
10,1,0,3,1,0,0,0,1
11,1,1,3,1,1,0,0,0
12,1,0,4,0,0,0,0,0
13,1,0,5,1,0,1,0,0
14,1,0,2,0,0,0,0,0
15,1,0,4,1,0,0,0,1
16,1,0,3,1,0,1,0,0
17,1,1,3,1,1,0,0,0
18,1,2,3,1,0,1,0,0
19,0,0,4,0,0,0,0,0
20,1,0,4,1,0,0,0,1
21,1,0,5,1,0,1,0,0
22,1,1,2,1,0,1,0,0
23,1,0,3,0,0,0,0,0
24,1,0,4,1,0,0,0,1
25,1,0,5,1,0,0,0,1
26,1,0,4,1,0,0,0,1
27,1,0,4,1,0,0,0,1
28,1,0,4,1,1,0,0,0
29,1,0,4,0,0,0,0,0
30,0,0,3,0,0,0,0,0
31,1,0,1,1,0,0,0,1
32,0,0,5,0,0,0,0,0
33,1,0,4,0,0,0,0,0
34,2,2,3,0,0,0,0,0
35,0,0,4,0,0,0,0,0
36,1,1,4,1,0,0,0,1
37,1,0,3,1,0,0,0,1
38,0,0,4,0,0,0,0,0
39,1,0,4,1,0,0,0,1
40,1,3,3,1,0,1,0,0
41,1,0,3,1,1,0,0,0
42,1,0,4,0,0,0,0,0
43,1,0,2,0,0,0,0,0
44,1,0,4,1,0,1,0,0
45,1,0,4,1,0,0,0,1
46,1,4,5,1,0,1,0,0
47,1,0,3,1,0,0,0,1
48,1,0,6,0,0,0,0,0
49,1,0,4,1,0,0,0,1
50,1,0,4,1,0,0,0,1
51,1,0,2,1,0,0,0,1
52,1,0,2,1,1,0,0,0
53,1,2,3,1,0,1,0,0
54,1,0,3,1,0,0,0,1
55,1,0,3,0,0,0,0,0
56,1,0,3,1,0,1,0,0
57,1,0,3,1,0,0,0,1
58,1,0,2,0,0,0,0,0
59,1,0,2,0,0,0,0,0
60,1,0,3,1,1,0,0,0
61,2,0,2,1,0,1,0,0
62,1,0,4,1,0,0,0,1
63,1,0,3,1,0,0,0,1
64,1,0,3,1,1,0,0,0
65,1,0,4,0,0,0,0,0
66,3,1,5,2,1,1,0,0
67,1,0,1,1,0,0,0,1
68,1,0,4,1,0,1,0,0
69,1,0,3,1,1,0,0,0
70,0,0,2,0,0,0,0,0
71,1,0,4,1,0,0,0,1
72,0,0,3,0,0,0,0,0
73,0,0,4,0,0,0,0,0
74,1,0,2,1,0,0,0,1
75,1,0,3,1,0,0,0,1
76,1,0,3,0,0,0,0,0
77,0,0,5,0,0,0,0,0
78,1,0,3,1,0,0,0,1
79,1,0,5,1,0,0,0,1
80,1,0,5,1,0,0,0,1
81,1,1,3,0,0,0,0,0
82,1,0,5,0,0,0,0,0
83,0,0,4,0,0,0,0,0
84,1,0,2,1,1,0,0,0
85,1,0,5,0,0,0,0,0
86,1,0,3,0,0,0,0,0
87,0,0,3,0,0,0,0,0
88,0,0,3,0,0,0,0,0
89,1,0,3,1,0,0,0,1
90,1,0,4,1,0,0,0,1
91,1,0,4,0,0,0,0,0
92,1,0,4,1,0,1,0,0
93,2,1,5,1,1,0,0,0
94,1,0,4,0,0,0,0,0
95,0,0,3,0,0,0,0,0
96,2,1,5,1,0,1,0,0
97,1,0,3,0,0,0,0,0
98,1,0,4,1,1,0,0,0
99,2,0,3,1,0,0,0,1
100,0,1,4,0,0,0,0,0
101,1,0,1,0,0,0,0,0
102,1,0,4,1,0,1,0,0
103,1,1,3,1,0,1,0,0
104,1,1,4,0,0,0,0,0
105,1,0,2,0,0,0,0,0
106,1,0,1,0,0,0,0,0
107,1,0,4,1,1,0,0,0
108,1,0,2,0,0,0,0,0
109,0,0,5,0,0,0,0,0
110,1,0,1,1,0,0,0,1
111,1,0,3,1,0,1,0,0
112,0,0,2,0,0,0,0,0
113,1,0,3,1,0,0,0,1
114,1,3,4,1,1,0,0,0
115,1,0,3,1,0,0,0,1
116,1,0,5,1,0,1,0,0
117,1,1,4,1,0,0,0,1
118,0,0,1,0,0,0,0,0
119,0,0,5,0,0,0,0,0
120,1,0,3,0,0,0,0,0
121,1,1,4,1,0,1,0,0
122,1,1,3,1,0,1,0,0
123,1,0,4,1,0,1,0,0
124,1,1,4,1,0,0,0,1
125,1,0,3,1,0,1,0,0
126,1,0,3,1,0,1,0,0
127,2,0,5,1,0,1,0,0
128,1,0,1,1,0,1,0,0
129,1,2,4,1,0,0,0,1
130,1,0,3,1,1,0,0,0
131,1,0,3,1,0,1,0,0
132,2,1,5,1,0,1,0,0
133,1,0,2,1,0,1,0,0
134,1,0,5,1,0,1,0,0
135,0,0,2,0,0,0,0,0
136,0,0,1,0,0,0,0,0
137,1,4,3,1,0,1,0,0
138,1,0,4,1,0,0,0,1
139,1,0,6,1,0,0,0,1
140,4,1,4,3,1,1,0,1
141,1,0,4,1,1,0,0,0
142,1,0,3,0,0,0,0,0
143,1,0,1,1,0,0,0,1
144,1,0,3,1,0,0,0,1
145,2,1,3,0,0,0,0,0
146,0,0,2,0,0,0,0,0
147,1,0,1,1,0,0,0,1
148,1,0,5,1,0,0,0,1
149,1,0,4,1,1,0,0,0
150,0,0,5,0,0,0,0,0
151,0,0,1,0,0,0,0,0
152,1,0,1,1,0,0,0,1
153,1,1,4,0,0,0,0,0
154,1,0,3,1,0,0,0,1
155,1,0,2,1,0,0,0,1
156,0,0,4,0,0,0,0,0
157,2,2,4,2,1,1,0,0
158,0,0,3,0,0,0,0,0
159,1,0,2,1,0,1,0,0
160,1,0,3,1,1,0,0,0
161,1,0,2,0,0,0,0,0
162,2,0,3,2,1,1,0,0
163,1,1,4,1,0,0,0,1
164,0,0,5,0,0,0,0,0
165,1,0,3,0,0,0,0,0
166,1,0,4,1,0,0,0,1
167,1,0,6,0,0,0,0,0
168,1,0,4,1,1,0,0,0
169,1,0,2,1,0,1,0,0
170,1,0,3,1,1,0,0,0
171,1,0,5,1,0,1,0,0
172,1,0,3,1,0,1,0,0
173,1,0,4,0,0,0,0,0
174,1,0,4,1,0,0,0,1
175,1,0,2,1,0,0,0,1
176,2,0,4,1,0,0,0,1
177,0,0,2,0,0,0,0,0
178,0,0,3,0,0,0,0,0
179,0,0,1,0,0,0,0,0
180,0,0,3,0,0,0,0,0
181,1,0,4,0,0,0,0,0
182,1,0,5,1,0,0,0,1
183,1,0,6,0,0,0,0,0
184,1,0,2,1,0,0,0,1
185,3,0,4,2,1,0,0,1
186,1,1,3,0,0,0,0,0
187,1,1,4,1,0,1,0,0
188,1,0,1,1,0,0,0,1
189,3,2,5,2,1,0,0,1
190,1,1,3,0,0,0,0,0
191,1,0,4,0,0,0,0,0
192,1,1,4,0,0,0,0,0
193,2,0,4,1,0,0,0,1
194,1,0,2,1,1,0,0,0
