PARTICIPANT ID,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY
3919,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:41:55,F35-39,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:57:22,F35-39,2013-10-06,Classique Du Parc La Fontaine,10 km,00:43:28,F30-39,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:37:45,F35-39,2013-06-16,Tour du Lac Brome,10 Km Route,00:45:16,F30-39,2012-10-14,Classique Du Parc La Fontaine,10 KM,00:49:10,F30-39,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:53:09,F30-34,2012-06-17,Tour du Lac Brome,10 Km Route,00:52:30,F30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:16:53,M40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:18:26,F15-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,2012-09-23,Marathon Oasis de Montreal,Marathon,03:43:10,M18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:59:18,F45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8392,2012-09-23,Marathon Oasis de Montreal,Marathon,04:26:58,F25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:14:51,M35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:09:26,F40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,2016-04-24,Banque Scotia 21K de Montreal,Demi Marathon,-1,M55-59,2015-08-12,Le 5km Endurance,5 KM,00:22:12,M50-59,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M55-59,2015-03-29,Course et marche populaires de LaSalle,5 KM,00:22:36,M50-59,2014-10-19,Classique Du Parc La Fontaine,5 km,00:22:18,M50-59,2014-08-24,La Valse des coureurs,10 km,00:48:35,M50-59,2014-08-13,Le 5km Endurance,5 KM,00:22:44,M50-59,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M50-54,2014-04-27,Banque Scotia 21km et 5km,21 km,01:48:24,M50-54,2014-03-30,Course et marche populaires de LaSalle,10 KM,00:49:30,M50-59,2013-09-29,Un pas vers l'espoir,10 km,00:46:35,M50+,2013-09-22,Marathon Oasis de Montreal,Marathon,04:34:25,M50-54,2013-09-15,La Grande Vadrouille,10km,00:46:12,M50-59,2013-08-25,La Valse des coureurs,10 km,00:45:46,M50-59,2013-08-04,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,02:06:28,M50-59,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M50-54,2013-04-28,Banque Scotia 21km et 5km,21 km,02:02:29,M50-54,2013-03-24,Course et marche populaires de LaSalle,10 KM,00:46:23,M50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,2012-09-23,Marathon Oasis de Montreal,Marathon,04:15:21,M18-24,2012-08-05,Défi Boréal Sainte-Anne-de-Bellevue,10 KM,00:48:50,M20-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
